rank,channel,importance
1,CPz,0.10718384385108948
2,FC1,0.1008034497499466
3,P1,0.09537673741579056
4,CP2,0.09336070716381073
5,Cz,0.09277599304914474
6,FC4,0.0926419273018837
7,FC2,0.08688309788703918
8,C2,0.08434341847896576
9,FCz,0.08188210427761078
10,C5,0.08045588433742523
11,Fz,0.08028192818164825
12,C3,0.07855597138404846
13,P2,0.07848216593265533
14,CP4,0.07712691277265549
15,CP3,0.07518263161182404
16,C4,0.07190661132335663
17,FC3,0.06677447259426117
18,C6,0.06431514024734497
19,CP1,0.061654508113861084
20,C1,0.06098834052681923
21,Pz,0.059367090463638306
22,POz,0.05595191568136215
